"Sex";"Age, 31 December";"Periods";"Deaths (aantal)"
"Total male and female";"Total";"1981 week 12";"    2277"
"Total male and female";"Total";"1981 week 13";"    2279"
"Total male and female";"Total";"1981 week 14";"    2173"
"Total male and female";"Total";"1981 week 15";"    2214"
"Total male and female";"Total";"1981 week 16";"    2112"
"Total male and female";"Total";"1981 week 17";"    2224"
"Total male and female";"Total";"1981 week 18";"    2129"
"Total male and female";"Total";"1981 week 19";"    2351"
"Total male and female";"Total";"1981 week 20";"    2214"
"Total male and female";"Total";"1981 week 21";"    2195"
"Total male and female";"Total";"1981 week 22";"    2092"
"Total male and female";"Total";"1981 week 23";"    2170"
"Total male and female";"Total";"1981 week 24";"    2154"
"Total male and female";"Total";"1981 week 25";"    2085"
"Total male and female";"Total";"1981 week 26";"    2177"
"Total male and female";"Total";"1981 week 27";"    2066"
"Total male and female";"Total";"1981 week 28";"    2281"
"Total male and female";"Total";"1981 week 29";"    2009"
"Total male and female";"Total";"1981 week 30";"    1954"
"Total male and female";"Total";"1981 week 31";"    2081"
"Total male and female";"Total";"1981 week 32";"    2299"
"Total male and female";"Total";"1981 week 33";"    2033"
"Total male and female";"Total";"1981 week 34";"    1903"
"Total male and female";"Total";"1981 week 35";"    2008"
"Total male and female";"Total";"1981 week 36";"    2055"
"Total male and female";"Total";"1981 week 37";"    2150"
"Total male and female";"Total";"1981 week 38";"    2109"
"Total male and female";"Total";"1981 week 39";"    2070"
"Total male and female";"Total";"1981 week 40";"    2147"
"Total male and female";"Total";"1981 week 41";"    2101"
"Total male and female";"Total";"1981 week 42";"    2212"
"Total male and female";"Total";"1981 week 43";"    2267"
"Total male and female";"Total";"1981 week 44";"    2367"
"Total male and female";"Total";"1981 week 45";"    2172"
"Total male and female";"Total";"1981 week 46";"    2204"
"Total male and female";"Total";"1981 week 47";"    2243"
"Total male and female";"Total";"1981 week 48";"    2268"
"Total male and female";"Total";"1981 week 49";"    2255"
"Total male and female";"Total";"1981 week 50";"    2350"
"Total male and female";"Total";"1981 week 51";"    2439"
"Total male and female";"Total";"1981 week 52";"    2480"
"Total male and female";"Total";"1981 week 53 (4 days)";"    1494"
"Total male and female";"Total";"1981";"  115515"
"Total male and female";"Total";"1982 week 0  (3 days)";"    1031"
"Total male and female";"Total";"1982 week 1";"    2429"
"Total male and female";"Total";"1982 week 2";"    2462"
"Total male and female";"Total";"1982 week 3";"    2418"
"Total male and female";"Total";"1982 week 4";"    2308"
"Total male and female";"Total";"1982 week 5";"    2271"
"Total male and female";"Total";"1982 week 6";"    2380"
"Total male and female";"Total";"1982 week 7";"    2206"
"Total male and female";"Total";"1982 week 8";"    2399"
"Total male and female";"Total";"1982 week 9";"    2481"
"Total male and female";"Total";"1982 week 10";"    2300"
"Total male and female";"Total";"1982 week 11";"    2310"
"Total male and female";"Total";"1982 week 12";"    2392"
"Total male and female";"Total";"1982 week 13";"    2384"
"Total male and female";"Total";"1982 week 14";"    2229"
"Total male and female";"Total";"1982 week 15";"    2251"
"Total male and female";"Total";"1982 week 16";"    2308"
"Total male and female";"Total";"1982 week 17";"    2357"
"Total male and female";"Total";"1982 week 18";"    2099"
"Total male and female";"Total";"1982 week 19";"    2254"
"Total male and female";"Total";"1982 week 20";"    2225"
"Total male and female";"Total";"1982 week 21";"    2042"
"Total male and female";"Total";"1982 week 22";"    2589"
"Total male and female";"Total";"1982 week 23";"    2221"
"Total male and female";"Total";"1982 week 24";"    2053"
"Total male and female";"Total";"1982 week 25";"    2156"
"Total male and female";"Total";"1982 week 26";"    2205"
"Total male and female";"Total";"1982 week 27";"    2257"
"Total male and female";"Total";"1982 week 28";"    2374"
"Total male and female";"Total";"1982 week 29";"    2105"
"Total male and female";"Total";"1982 week 30";"    2094"
"Total male and female";"Total";"1982 week 31";"    2305"
"Total male and female";"Total";"1982 week 32";"    2032"
"Total male and female";"Total";"1982 week 33";"    1997"
"Total male and female";"Total";"1982 week 34";"    2034"
"Total male and female";"Total";"1982 week 35";"    2091"
"Total male and female";"Total";"1982 week 36";"    2079"
"Total male and female";"Total";"1982 week 37";"    2091"
"Total male and female";"Total";"1982 week 38";"    2041"
"Total male and female";"Total";"1982 week 39";"    1989"
"Total male and female";"Total";"1982 week 40";"    2007"
"Total male and female";"Total";"1982 week 41";"    2050"
"Total male and female";"Total";"1982 week 42";"    2157"
"Total male and female";"Total";"1982 week 43";"    2073"
"Total male and female";"Total";"1982 week 44";"    2131"
"Total male and female";"Total";"1982 week 45";"    2218"
"Total male and female";"Total";"1982 week 46";"    2194"
"Total male and female";"Total";"1982 week 47";"    2289"
"Total male and female";"Total";"1982 week 48";"    2312"
"Total male and female";"Total";"1982 week 49";"    2444"
"Total male and female";"Total";"1982 week 50";"    2515"
"Total male and female";"Total";"1982 week 51";"    2734"
"Total male and female";"Total";"1982 week 52  (5 days)";"    1891"
"Total male and female";"Total";"1982";"  117264"
"Total male and female";"Total";"1983 week 0 (2 days)";"     771"
"Total male and female";"Total";"1983 week 1";"    2684"
"Total male and female";"Total";"1983 week 2";"    2607"
"Total male and female";"Total";"1983 week 3";"    2349"
"Total male and female";"Total";"1983 week 4";"    2317"
"Total male and female";"Total";"1983 week 5";"    2352"
"Total male and female";"Total";"1983 week 6";"    2389"
"Total male and female";"Total";"1983 week 7";"    2411"
"Total male and female";"Total";"1983 week 8";"    2436"
"Total male and female";"Total";"1983 week 9";"    2324"
"Total male and female";"Total";"1983 week 10";"    2376"
"Total male and female";"Total";"1983 week 11";"    2222"
"Total male and female";"Total";"1982 week 12";"    2229"
"Total male and female";"Total";"1983 week 13";"    2206"
"Total male and female";"Total";"1983 week 14";"    2279"
"Total male and female";"Total";"1983 week 15";"    2225"
"Total male and female";"Total";"1983 week 16";"    2190"
"Total male and female";"Total";"1983 week 17";"    2210"
"Total male and female";"Total";"1983 week 18";"    2199"
"Total male and female";"Total";"1983 week 19";"    2284"
"Total male and female";"Total";"1983 week 20";"    2182"
"Total male and female";"Total";"1983 week 21";"    2151"
"Total male and female";"Total";"1983 week 22";"    2318"
"Total male and female";"Total";"1983 week 23";"    2260"
"Total male and female";"Total";"1983 week 24";"    2151"
"Total male and female";"Total";"1983 week 25";"    2382"
"Total male and female";"Total";"1983 week 26";"    2079"
"Total male and female";"Total";"1983 week 27";"    2329"
"Total male and female";"Total";"1983 week 28";"    2409"
"Total male and female";"Total";"1983 week 29";"    2212"
"Total male and female";"Total";"1983 week 30";"    2110"
"Total male and female";"Total";"1983 week 31";"    1942"
"Total male and female";"Total";"1983 week 32";"    2079"
"Total male and female";"Total";"1983 week 33";"    2229"
"Total male and female";"Total";"1983 week 34";"    2102"
"Total male and female";"Total";"1983 week 35";"    2050"
"Total male and female";"Total";"1983 week 36";"    2072"
"Total male and female";"Total";"1983 week 37";"    2117"
"Total male and female";"Total";"1983 week 38";"    2134"
"Total male and female";"Total";"1983 week 39";"    2174"
"Total male and female";"Total";"1983 week 40";"    2155"
"Total male and female";"Total";"1983 week 41";"    2230"
"Total male and female";"Total";"1983 week 42";"    2169"
"Total male and female";"Total";"1983 week 43";"    2156"
"Total male and female";"Total";"1983 week 44";"    2305"
"Total male and female";"Total";"1983 week 45";"    2271"
"Total male and female";"Total";"1983 week 46";"    2269"
"Total male and female";"Total";"1983 week 47";"    2368"
"Total male and female";"Total";"1983 week 48";"    2270"
"Total male and female";"Total";"1983 week 49";"    2330"
"Total male and female";"Total";"1983 week 50";"    2407"
"Total male and female";"Total";"1983 week 51";"    2322"
"Total male and female";"Total";"1983 week 52 (6 days)";"    1967"
"Total male and female";"Total";"1983";"  117761"
"Total male and female";"Total";"1984 week 0 (1 day)";"     320"
"Total male and female";"Total";"1984 week 1";"    2343"
"Total male and female";"Total";"1984 week 2";"    2385"
"Total male and female";"Total";"1984 week 3";"    2333"
"Total male and female";"Total";"1984 week 4";"    2341"
"Total male and female";"Total";"1984 week 5";"    2363"
"Total male and female";"Total";"1984 week 6";"    2334"
"Total male and female";"Total";"1984 week 7";"    2206"
"Total male and female";"Total";"1984 week 8";"    2403"
"Total male and female";"Total";"1984 week 9";"    2532"
"Total male and female";"Total";"1984 week 10";"    2404"
"Total male and female";"Total";"1984 week 11";"    2524"
"Total male and female";"Total";"1984 week 12";"    2712"
"Total male and female";"Total";"1984 week 13";"    2613"
"Total male and female";"Total";"1984 week 14";"    2525"
"Total male and female";"Total";"1984 week 15";"    2500"
"Total male and female";"Total";"1984 week 16";"    2361"
"Total male and female";"Total";"1984 week 17";"    2321"
"Total male and female";"Total";"1984 week 18";"    2315"
"Total male and female";"Total";"1984 week 19";"    2215"
"Total male and female";"Total";"1984 week 20";"    2330"
"Total male and female";"Total";"1984 week 21";"    2163"
"Total male and female";"Total";"1984 week 22";"    2209"
"Total male and female";"Total";"1984 week 23";"    2096"
"Total male and female";"Total";"1984 week 24";"    2272"
"Total male and female";"Total";"1984 week 25";"    2239"
"Total male and female";"Total";"1984 week 26";"    2199"
"Total male and female";"Total";"1984 week 27";"    2150"
"Total male and female";"Total";"1984 week 28";"    2240"
"Total male and female";"Total";"1984 week 29";"    2095"
"Total male and female";"Total";"1984 week 30";"    2040"
"Total male and female";"Total";"1984 week 31";"    2142"
"Total male and female";"Total";"1984 week 32";"    2007"
"Total male and female";"Total";"1984 week 33";"    2127"
"Total male and female";"Total";"1984 week 34";"    2327"
"Total male and female";"Total";"1984 week 35";"    2087"
"Total male and female";"Total";"1984 week 36";"    2079"
"Total male and female";"Total";"1984 week 37";"    2072"
"Total male and female";"Total";"1984 week 38";"    2157"
"Total male and female";"Total";"1984 week 39";"    2243"
"Total male and female";"Total";"1984 week 40";"    2282"
"Total male and female";"Total";"1984 week 41";"    2236"
"Total male and female";"Total";"1984 week 42";"    2233"
"Total male and female";"Total";"1984 week 43";"    2232"
"Total male and female";"Total";"1984 week 44";"    2263"
"Total male and female";"Total";"1984 week 45";"    2248"
"Total male and female";"Total";"1984 week 46";"    2282"
"Total male and female";"Total";"1984 week 47";"    2411"
"Total male and female";"Total";"1984 week 48";"    2288"
"Total male and female";"Total";"1984 week 49";"    2343"
"Total male and female";"Total";"1984 week 50";"    2437"
"Total male and female";"Total";"1984 week 51";"    2423"
"Total male and female";"Total";"1984 week 52";"    2432"
"Total male and female";"Total";"1984 week 53 (1 day)";"     378"
"Total male and female";"Total";"1984";"  119812"
"Total male and female";"Total";"1985 week 1 (6 days)";"    2271"
"Total male and female";"Total";"1985 week 2";"    2700"
"Total male and female";"Total";"1985 week 3";"    2709"
"Total male and female";"Total";"1985 week 4";"    2676"
"Total male and female";"Total";"1985 week 5";"    2588"
"Total male and female";"Total";"1985 week 6";"    2440"
